Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
2016-01-14,18960.75,19175.6,18823.75,19031.1,83764544.0,23587700000.0,21.14,2.7,1.7
2016-01-15,19104.6,19131.2,18505.8,18535.45,81621705.0,23188200000.0,20.59,2.63,1.75
2016-01-18,18525.1,18549.85,18004.45,18051.3,100344383.0,27802600000.000004,20.05,2.57,1.8
2016-01-19,18107.9,18322.75,17986.9,18281.15,82076300.0,23475200000.0,20.27,2.6,1.77
2016-01-20,18113.6,18113.6,17722.05,17938.05,90538245.0,25123600000.0,19.89,2.55,1.81
2016-01-21,18124.2,18224.9,17673.85,17715.55,111800024.0,29250700000.0,19.65,2.52,1.83
2016-01-22,17930.85,18151.75,17839.2,18107.35,87753010.0,25307100000.0,20.11,2.57,1.79
2016-01-25,18256.2,18320.3,18108.3,18124.45,66667634.0,21649600000.0,20.13,2.58,1.79
2016-01-27,18193.7,18240.3,18050.25,18136.1,92955450.0,29186000000.0,20.11,2.58,1.79
2016-01-28,18102.0,18151.1,18040.25,18060.4,114164022.0,36716500000.0,19.94,2.57,1.79
2016-01-29,18105.95,18429.9,18098.0,18399.0,100839837.0,30566500000.0,20.31,2.61,1.76
2016-02-01,18498.5,18510.75,18345.0,18466.15,72072049.0,22998900000.0,20.3,2.62,1.76
2016-02-02,18507.55,18529.6,18043.45,18098.6,86609540.0,27931500000.0,21.62,2.57,1.79
2016-02-03,17925.55,18039.4,17824.3,17859.55,83788400.0,25867500000.0,21.29,2.54,1.81
2016-02-04,18050.8,18089.15,17729.3,17858.15,82525994.0,26566300000.0,21.29,2.54,1.82
2016-02-05,17931.85,18316.9,17886.55,18269.55,83278934.0,27935800000.0,21.78,2.6,1.77
2016-02-08,18324.7,18424.6,18189.0,18219.15,74059581.0,21809699999.999996,21.6,2.59,1.78
2016-02-09,18061.85,18119.4,17804.9,17824.95,97382591.0,26262900000.0,21.16,2.53,1.82
2016-02-10,17781.8,17793.7,17474.55,17585.4,105517547.0,33201000000.0,21.34,2.5,1.84
2016-02-11,17540.7,17573.8,16976.3,17028.45,116355073.0,31686200000.0,20.68,2.42,1.9
2016-02-12,17151.45,17153.05,16607.8,17031.95,134432912.0,35286200000.0,20.62,2.42,1.9
2016-02-15,17293.4,17643.15,17293.4,17607.1,104074011.0,24433800000.0,20.53,2.5,1.84
2016-02-16,17648.1,17679.45,17133.3,17160.8,90001730.0,22933800000.0,20.01,2.44,1.89
2016-02-17,17179.3,17267.25,16787.8,17227.6,107415088.0,28323400000.0,20.09,2.45,1.88
2016-02-18,17398.05,17480.1,17156.5,17323.95,87911924.0,22071600000.0,20.2,2.46,1.87
2016-02-19,17293.8,17354.15,17192.95,17334.75,78971650.0,19371700000.0,20.21,2.46,1.87
2016-02-22,17416.15,17473.75,17332.15,17460.1,64780475.0,18768100000.0,20.35,2.48,1.86
2016-02-23,17503.25,17503.25,17220.9,17258.75,93351125.0,23518100000.0,20.12,2.45,1.88
2016-02-24,17198.0,17208.55,16998.0,17036.25,95341053.0,22204300000.0,19.83,2.42,1.91
2016-02-25,17076.15,17082.95,16920.6,16952.2,131618807.0,34955500000.0,19.73,2.41,1.91
2016-02-26,17120.55,17173.65,16953.55,17074.65,77070387.0,24098300000.0,20.03,2.41,1.9
2016-02-29,17123.4,17264.85,16769.5,17118.15,117800462.0,34001500000.0,20.08,2.42,1.9
2016-03-01,17186.45,17698.65,17177.85,17669.25,92867804.0,27455900000.0,20.73,2.5,1.84
2016-03-02,17844.15,18041.2,17844.15,17901.55,97864879.0,30235600000.0,21.0,2.53,1.81
2016-03-03,18004.2,18047.8,17882.75,18030.8,87847213.0,27176300000.0,21.15,2.55,1.8
2016-03-04,18085.75,18217.15,17990.25,18181.2,98104531.0,26557600000.000004,21.33,2.57,1.79
2016-03-08,18183.6,18338.6,18105.9,18208.65,95400150.0,28495900000.0,21.36,2.57,1.78
2016-03-09,18132.4,18263.35,18058.25,18253.3,98665224.0,26568600000.0,21.41,2.58,1.78
2016-03-10,18296.6,18350.05,18153.55,18178.2,78103564.0,24680500000.0,21.32,2.57,1.79
2016-03-11,18168.55,18308.2,18134.15,18232.1,76053815.0,26003800000.0,21.39,2.58,1.78
2016-03-14,18335.35,18397.25,18226.45,18286.55,65072692.0,20518400000.0,21.45,2.59,1.78
2016-03-15,18299.65,18302.0,18070.8,18111.05,67832928.0,23584400000.0,21.24,2.56,1.79
2016-03-16,18092.7,18095.65,17833.1,18038.95,72264989.0,23589899999.999996,21.16,2.55,1.8
2016-03-17,18196.0,18278.6,18134.85,18182.35,86762499.0,26709000000.0,21.33,2.57,1.79
2016-03-18,18210.7,18312.9,18085.4,18284.9,85708111.0,27974000000.0,21.45,2.58,1.78
2016-03-21,18341.85,18587.4,18341.85,18549.6,83227094.0,23489800000.0,21.78,2.62,1.75
2016-03-22,18585.45,18686.6,18458.75,18621.3,87376061.0,26298700000.0,21.86,2.63,1.74
2016-03-23,18635.2,18672.2,18561.75,18648.4,74378764.0,21185600000.0,21.89,2.64,1.74
2016-03-28,18688.4,18704.8,18333.45,18376.45,74279400.0,19113500000.0,21.57,2.6,1.77
2016-03-29,18349.45,18435.45,18210.45,18369.6,77323219.0,22194000000.0,21.56,2.6,1.77
2016-03-30,18473.75,18683.4,18473.75,18659.15,82900902.0,26003700000.0,21.9,2.64,1.74
2016-03-31,18689.5,18808.15,18568.35,18756.6,146306203.0,42650900000.0,22.02,2.65,1.73
2016-04-01,18720.0,18809.8,18667.35,18761.3,103453505.0,19878200000.0,22.27,2.64,1.77
2016-04-04,18844.95,18847.55,18741.25,18810.4,88124788.0,17478900000.0,22.33,2.65,1.77
2016-04-05,18752.45,18776.15,18506.45,18530.0,103490250.0,21236800000.0,22.0,2.61,1.8
2016-04-06,18563.95,18678.85,18462.1,18643.35,104810512.0,23223700000.0,22.11,2.62,1.79
2016-04-07,18705.1,18705.1,18531.35,18563.9,84158167.0,16961099999.999998,22.01,2.61,1.8
2016-04-08,18554.0,18674.1,18516.9,18656.35,76064920.0,15708699999.999998,22.12,2.62,1.79
2016-04-11,18687.75,18832.0,18617.55,18820.05,93094789.0,19770900000.0,22.32,2.65,1.77
2016-04-12,18861.55,18975.55,18852.15,18955.4,88962335.0,21995800000.0,22.48,2.66,1.76
2016-04-13,19103.85,19221.25,19095.95,19170.6,121048797.0,26402800000.000004,22.73,2.69,1.74
2016-04-18,19182.8,19384.35,19168.6,19369.15,98336504.0,23963600000.0,22.97,2.72,1.72
2016-04-20,19435.5,19506.15,19331.7,19395.1,138871709.0,29954699999.999996,23.03,2.73,1.72
2016-04-21,19487.15,19531.35,19317.55,19388.25,122851434.0,27046400000.0,23.02,2.73,1.72
2016-04-22,19379.8,19463.1,19338.5,19417.75,115848108.0,22131800000.0,23.06,2.73,1.72
2016-04-25,19404.1,19427.0,19250.8,19295.45,86944384.0,19792400000.0,22.87,2.71,1.73
2016-04-26,19276.3,19429.2,19226.7,19412.8,106622352.0,25219400000.0,23.01,2.73,1.72
2016-04-27,19416.15,19549.2,19400.35,19470.85,133898048.0,18874100000.0,23.07,2.74,1.71
2016-04-28,19494.5,19531.05,19222.8,19240.4,169573925.0,31871500000.0,22.8,2.7,1.73
2016-04-29,19258.25,19364.95,19118.1,19323.2,174801258.0,24362300000.0,22.39,2.72,1.73
2016-05-02,19315.65,19643.75,19278.6,19630.2,178909783.0,27244400000.0,21.5,2.76,1.7
2016-05-03,19699.25,19764.95,19399.35,19433.5,118930333.0,29723400000.0,21.29,2.73,1.72
2016-05-04,19360.2,19402.95,19094.9,19126.55,111139713.0,22729500000.0,20.95,2.69,1.74
2016-05-05,19173.5,19236.15,19058.9,19154.15,105976647.0,24482100000.0,20.97,2.69,1.74
2016-05-06,19160.7,19281.6,19109.8,19256.35,90161890.0,18436900000.0,21.08,2.71,1.73
2016-05-09,19328.2,19451.5,19307.95,19405.85,72385455.0,19192500000.0,21.25,2.73,1.72
2016-05-10,19428.15,19463.1,19372.6,19413.2,81214323.0,20177900000.0,21.26,2.73,1.72
2016-05-11,19225.15,19484.65,19174.7,19430.1,128632215.0,21721400000.0,21.28,2.73,1.72
2016-05-12,19487.55,19649.85,19484.35,19629.2,85026654.0,23218800000.0,21.5,2.76,1.7
2016-05-13,19606.9,19686.9,19422.55,19447.95,95794786.0,23562700000.0,21.3,2.73,1.72
